Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Product Carrier,2012,In Service,Simosa Shipping,Dah Chung Group,Shell PLC,Namura Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,Indian Subcontinent,,FS Endeavor,"63,058","108,994",477083600,9532161,15.00,"13,560"
Bulk Carrier,2012,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Iwagi Zosen,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Star Challenger,"34,777","61,462",636025065,9632997,14.50,"8,450"
Product Carrier,2009,In Service,Chang Bai Shan,Chang Bai Shan,Chang Bai Shan,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Chen Lu,"58,614","105,272",352003102,9404948,12.70,"13,560"
Multi-Purpose/Heavy Lift Cargo,2001,In Service,Spliethoff,Spliethoff,Spliethoff,Szczecin Shipyard,Netherlands,Fitted,Diesel 4-Stroke,West Coast Africa,Morocco,Spuigracht,"16,639","21,349",245261000,9202534,17.00,"12,062"
Multi-Purpose,1996,In Service,OY Langh Ship AB,Langh Group,OY Langh Ship AB,J. J. Sietas,Finland,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Sweden,Marjatta,"5,270","6,410",230352000,9126247,16.00,"5,850"
Ro-Ro,2006,In Service,Swedish Orient,Swedish Orient,Swedish Orient,Aker Finnyards,Sweden,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Thuleland,"23,128","15,960",266248000,9343261,19.50,"8,870"
FPSO,2009,In Service,Yinson Holdings,Yinson Holdings,Azule Energy,Huarun Dadong,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Agogo FPSO,"162,198","321,300",,9353802,15.90,"29,424"
Bulk Carrier,2003,In Service,Unknown,Unknown,,Kanasashi K.K.,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,Defense,"29,862","53,350",353381000,9237199,13.50,"8,577"
Pure Car Carrier,2014,In Service,Neptune Shipping,Neptune Shipping,Neptune Shipping,Hyundai Mipo,Greece,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Neptune Thalassa,"37,602","11,262",241859000,9668506,18.50,"11,620"
Fully Cellular Container,2015,In Service,K-Line,K-Line,ONE,Imabari SB Hiroshima,Japan,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Germany,ONE Mackinac,"152,297","147,420",431241000,9689603,24.90,"48,900"
Cruise Ship,2008,In Service,MSC Cruises,MSC,MSC Cruises,Aker Yards,Panama,Fitted,Diesel Electric,East Coast South America,,MSC Poesia,"92,627","9,429",355931000,9387073,23.00,"69,600"
Bulk Carrier,2010,In Service,Campbell Shipping,Campbell Shipping,Campbell Shipping,Jiangsu Hantong HI,Bahamas,Fitted,Diesel 2-Stroke,Indian Subcontinent,Bangladesh,CS Sonoma,"32,987","56,704",311033300,9569944,13.50,"9,480"
Bulk Carrier,2013,In Service,Unknown,Unknown,,Tsuneishi Zhoushan,Panama,Fitted,Diesel 2-Stroke,East Asia,,Athena Century,"43,022","82,165",355959000,9599092,13.70,"9,710"
Bulk Carrier,2012,In Service,Pioneer Line Pte,Pioneer Logistics,Pioneer Line Pte,HHIC-Phil (Subic SY),Liberia,Pending,Diesel 2-Stroke,South East Asia,,Talisker,"106,952","205,203",636024328,9528201,15.00,"19,620"
Fully Cellular Container,1996,In Service,MSC,MSC,MSC,Flensburger SB,Panama,Pending,Diesel 2-Stroke,East Coast North America,,MSC Don Giovanni,"29,181","39,528",356579000,9102746,19.50,"16,858"
Ore Carrier,2021,In Service,BoCom Leasing,BoCom,Vale,Yangzi Xinfu SB,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,BOKM Shanghai,"173,756","324,946",636020785,9851256,14.50,"21,000"
Bulk Carrier,2011,In Service,Costamare Shipping,Costamare Shipping,Costamare Shipping,HHIC-Phil (Subic SY),Liberia,Fitted,Diesel 2-Stroke,Australasia,Australia,Dorado,"93,733","179,842",636018309,9585106,15.50,"18,660"
Bulk Carrier,2012,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Hudong Zhonghua,Malta,Fitted,Diesel 2-Stroke,West Coast North America,United States,Woolloomooloo,"41,254","76,064",256662000,9584499,14.50,"10,000"
Bulk Carrier,2013,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,,Sungdong SB,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Mount Gilboa,"92,921","178,854",636018336,9482940,15.20,"15,031"
Bulk Carrier,2009,In Service,Korea Line,SM Group,,Universal SB (Tsu),South Korea,Fitted,Diesel 2-Stroke,West Coast South America,,K. Aster,"106,367","207,942",441088000,9375965,14.70,"16,370"
Multi-Purpose/Heavy Lift Cargo,1997,In Service,BigLift Shipping,Spliethoff,BigLift Shipping,Merwede Hardinxveld,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Happy River,"10,990","16,050",244559000,9139294,16.40,"8,775"
Tanker,2013,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Samsung HI,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Alicante,"61,332","115,708",538010257,9527855,15.00,"14,400"
Bulk Carrier,2017,In Service,Algoma Central Corp,Algoma Central Corp,Algoma Central Corp,Jiangsu New YZJ,Canada,Fitted,Diesel 2-Stroke,East Coast North America,Canada,Algoma Niagara,"24,640","37,367",316034846,9619270,14.00,"6,926"
Chemical & Oil Carrier,2006,In Service,Wilmar International,Wilmar International,Raffles Ship Mgmt,Jiujiang Yinxing,Indonesia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Theresa Aries,"11,254","17,112",525300061,9348508,13.00,"4,440"
Pure Car Carrier,2013,In Service,Hyundai Glovis,Hyundai Motor Group,Hyundai Glovis,Hyundai Samho HI,South Korea,Fitted,Diesel 2-Stroke,South East Asia,,Glovis Supreme,"64,650","20,138",441133000,9674177,20.00,"13,070"
Tanker,2022,In Service,Seaworld Mgmt & Trdg,Seaworld Mgmt & Trdg,Mercuria Energy,New Times SB,Liberia,Fitted,Diesel 2-Stroke,West Coast North America,Panama,Sea Galaxy,"82,778","156,733",636021742,9935648,11.00,"15,100"
Tanker,2010,In Service,Nissen Kaiun,Nissen Kaiun,Eneos Ocean,Universal SB Ariake,Panama,Fitted,Diesel 2-Stroke,Middle East,Iraq,Bright Pioneer,"159,806","302,628",354600000,9360233,17.00,"29,340"
Multi-Purpose,2012,In Service,Spliethoff,Spliethoff,Spliethoff,Zhejiang Ouhua SB,Netherlands,Fitted,Diesel 4-Stroke,East Coast North America,,Muntgracht,"9,524","11,744",246771000,9571545,15.30,"5,430"
Bulk Carrier,2012,In Service,Sinokor Merchant,Sinokor Merchant,Sinokor Merchant,Sungdong SB,South Korea,Fitted,Diesel 2-Stroke,South East Asia,Vietnam,Geneva Queen,"44,096","81,361",440687000,9638642,14.00,"11,200"
Tanker,2019,In Service,COSCO Shpg Energy,China COSCO Shipping,COSCO Shpg Energy,GSI Nansha,China P.R.,Fitted,Diesel 2-Stroke,West Coast South America,,Yuan Lian Wan,"64,573","113,832",412418000,9845960,14.50,"11,494"
Fully Cellular Container,1997,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Pending,Diesel 2-Stroke,East Coast South America,,MSC Rochelle,"53,324","63,645",636016476,9141297,24.50,"40,452"
Fully Cellular Container,2002,Repairs,MSC,MSC,MSC,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,MSC Luisa,"75,590","84,920",355308000,9225677,25.50,"57,099"
Bulk Carrier,2020,Idle,Doun Kisen,Doun Kisen,,Tsuneishi Cebu,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Basic Glory,"43,241","81,668",538008892,9836579,13.50,"9,660"
Fully Cellular Container,2020,In Service,Swire Shipping,John Swire & Sons,Swire Shipping,Huangpu Wenchong,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,,Moresby Chief,"26,971","30,500",477455700,9848766,18.00,"17,400"
Bulk Carrier,2012,In Service,Everest Shpg,Jiangsu Shagang,Everest Shpg,Beihai Shipyard,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ever Devotion,"94,710","180,125",636017850,9612973,15.00,"18,660"
Fully Cellular Container,2009,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,South East Asia,Papua New Guinea,MSC Shay,"94,511","95,810",373021000,9393022,17.00,"80,080"
Bulk Carrier,2007,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Berge Broad Peak,"91,384","177,876",636020509,9374832,14.50,"16,860"
Heavy Lift Cargo Vessel,2011,In Service,BigLift Shipping,Spliethoff,BigLift Shipping,Zhejiang Ouhua SB,Netherlands,Fitted,Diesel 4-Stroke,East Asia,People's Republic Of China,Happy Diamond,"14,784","18,148",246663000,9551947,17.00,"8,400"
Fully Cellular Container,2013,In Service,Zodiac Maritime,Zodiac Maritime,MSC,Sungdong SB,Panama,Fitted,Diesel 2-Stroke,South East Asia,Singapore,MSC Adelaide,"95,390","110,806",352619000,9618290,22.00,"94,860"
Chemical & Oil Carrier,2007,In Service,Iver Ships BV,Vroon BV,Iver Ships BV,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Nor'easter,"23,421","37,412",538002783,9350642,14.50,"9,960"
Bulk Carrier,2012,In Service,Zhoushan Weifeng,Zhoushan Weifeng,Zhoushan Weifeng,Jinhai Heavy Ind,Hong Kong,Fitted,Diesel 2-Stroke,East Coast North America,,Wei He,"43,550","79,440",477024200,9601091,17.40,"11,900"
Fully Cellular Container,2023,In Service,Briese Schiffahrts,Briese Schiffahrts,OOCL,Huangpu Wenchong,Antigua & B.,Fitted,Diesel 2-Stroke,East Asia,Japan,Cebu,"18,491","24,744",305568000,9968437,18.50,"10,380"
Tanker,2008,In Service,Maran Tankers Mgmt,Angelicoussis Group,Maran Tankers Mgmt,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,South East Asia,Philippines,Maran Capricorn,"159,026","320,513",240755000,9389019,16.50,"29,366"
Tanker,2013,In Service,Sonangol,Sonangol,Stena Sonangol,Daewoo (DSME),Bahamas,Fitted,Diesel 2-Stroke,West Coast Africa,,Sonangol Cabinda,"83,753","157,748",311066500,9575589,15.40,"16,850"
Chemical & Oil Carrier,2013,In Service,TORM A/S,TORM A/S,TORM A/S,STX SB (Jinhae),Singapore,Fitted,Diesel 2-Stroke,East Coast South America,Argentina,Torm Birgitte,"29,940","49,995",563191800,9664720,14.50,"7,570"
Bulk Carrier,2020,In Service,Wisdom Marine Group,Wisdom Marine Group,SwissMarine Pte Ltd,Dalian COSCO KHI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Amis Treasure,"36,279","61,125",636019538,9865362,14.50,"8,130"
Ro-Ro,2000,Idle,DFDS,DFDS,DFDS Seaways,Fincantieri Ancona,Danish Int'l,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Denmark,Britannia Seaways,"24,196","11,089",219825000,9153032,21.50,"21,288"
Fully Cellular Container,2002,Repairs,Interasia Lines,Wan Hai Lines,Interasia Lines,Naikai Zosen Setoda,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Interasia Motivation,"26,681","30,234",564440000,9238167,22.50,"15,820"
Chemical Parcel Tanker,2021,In Service,Nat Chem Carriers,Bahri,Nat Chem Carriers,GSI Nansha,Saudi Arabia,Fitted,Diesel 2-Stroke,Middle East,,Rana,"33,355","49,993",403797001,9853553,13.00,"10,860"
Bulk Carrier,2020,In Service,DryDel Shpg,DryDel Shpg,DryDel Shpg,Oshima Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Utopia,"36,256","64,499",636023322,9826457,13.00,"7,220"
Fully Cellular Container,2014,In Service,Enesel SA,N.S. Lemos,Hapag-Lloyd,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast North America,,Charleston Express,"148,667","152,344",636093018,9665645,23.00,"63,910"
Fully Cellular Container,2009,In Service,MSC,MSC,MSC,Hyundai Samho HI,Madeira,Fitted,Diesel 2-Stroke,Indian Subcontinent,,MSC Rikku,"94,511","95,810",255803450,9393319,17.00,"43,400"
Cruise Ship,2008,In Service,Holland America Line,Carnival Corporation,Holland America Line,Fincantieri Marghera,Netherlands,Fitted,Diesel Electric,East Coast North America,Bahamas,Eurodam,"86,273","9,125",245206000,9378448,23.90,"65,000"
Bulk Carrier,2011,In Service,Peter Dohle,Peter Dohle,Peter Dohle,Sinopacific Zhejiang,Madeira,Fitted,Diesel 2-Stroke,South East Asia,Vietnam,Edgar,"65,976","118,936",255915639,9589621,14.10,"13,560"
Fully Cellular Container,2015,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Hybrid Mech./Elec.,East Asia,,Margrethe Maersk,"194,849","195,071",219629000,9632131,23.00,"46,620"
Bulk Carrier,2006,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Tsuneishi Zosen,Marshall Is.,Fitted,Diesel 2-Stroke,Middle East,Iran,Star Nina,"42,887","82,224",538002635,9354832,14.50,"9,800"
Chemical & Oil Carrier,2014,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,STI Venere,"29,785","49,990",538005495,9681390,14.50,"8,090"
Pass./Car Ferry,2002,In Service,Stena Line,Stena AB,Corsica Linea,Howaldtswerke Werft,France,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,France,A Nepita,"30,551","6,920",226269000,9211511,18.00,"46,080"
Chemical Parcel Tanker,2009,In Service,MOL Chemical Tankers,Mitsui OSK Lines,MOL Chemical Tankers,SK Onishi,Singapore,Fitted,Diesel 2-Stroke,East Asia,,Argent Daisy,"20,517","35,293",563093400,9382061,16.70,"8,580"
Bulk Carrier,2012,In Service,Maki Kisen,Maki Kisen,Maki Kisen,Shikoku Dock.,Panama,Fitted,Diesel 2-Stroke,East Coast Africa,Reunion,Spring Breeze,"21,699","36,365",373230000,9610200,14.20,"7,300"
Bulk Carrier,2012,In Service,HOSCO,HOSCO,HOSCO,Shanhaiguan SB,Hong Kong,Fitted,Diesel 2-Stroke,Australasia,,Ocean Alignment,"52,709","95,352",477817200,9631254,13.00,"13,560"
Chemical Parcel Tanker,2021,In Service,Aurora Tankers,IMC Pan Asia,Aurora Tankers,GSI Nansha,Singapore,Fitted,Diesel 2-Stroke,Indian Subcontinent,Pakistan,Maritime Guardian,"33,355","49,993",563131300,9853539,14.00,"10,860"
Fully Cellular Container,2007,In Service,MSC,MSC,MSC,Aker Ostsee,Madeira,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,MSC Cape III,"28,007","37,909",255799000,9360271,22.00,"20,580"
Fully Cellular Container,2002,In Service,MSC,MSC,MSC,Stocznia Gdynia,Liberia,Fitted,Diesel 2-Stroke,Indian Subcontinent,Sri Lanka,MSC Patnaree III,"30,047","35,786",636020930,9240328,22.20,"24,830"
Fully Cellular Container,2020,In Service,Swire Shipping,John Swire & Sons,Swire Shipping,Huangpu Wenchong,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,Timor-Leste,Rabaul Chief,"26,971","30,401",477629900,9848780,18.00,"17,400"
Tanker,2019,In Service,Frontline,Fredriksen Group,Frontline,Daewoo (DSME),Liberia,Fitted,Diesel 2-Stroke,East Coast North America,,Front Eira,"156,452","299,750",636021816,9855331,14.50,"24,510"
Chemical Bulk Tanker,2015,In Service,Stena Bulk,Stena AB,Stena Bulk,GSI Liwan,United Kingdom,Fitted,Diesel 2-Stroke,West Coast Africa,,Stena Impression,"29,680","49,776",235108755,9667461,12.00,"7,211"
Chemical Parcel Tanker,2009,In Service,PV TRANS,PetroVietnam,Seastar Maritime,Fukuoka (Nagasaki),Vietnam,Fitted,Diesel 2-Stroke,West Coast North America,,PVT Azura,"11,919","19,945",574005080,9423683,14.50,"6,150"
Tanker,2015,In Service,SFL Corporation,Fredriksen Group,,Bohai Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,SFL Thelon,"83,377","159,500",538010172,9593000,14.80,"15,210"
Ore Carrier,2013,In Service,NS United KK,NYK Line,NS United KK,Namura Shipbuilding,Panama,Fitted,Diesel 2-Stroke,East Asia,,NSU Milestone,"132,868","250,675",370583000,9621261,15.00,"21,910"
Fully Cellular Container,2014,In Service,Kyowa Kisen,Kyowa Kisen,Hamburg Sud,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,West Coast Africa,,Cap San Artemissio,"118,938","124,479",352358000,9633939,25.00,"40,670"
Chemical Parcel Tanker,2008,In Service,Gulf Navigation,Gulf Navigation,ISTC,Hyundai Mipo,Panama,Fitted,Diesel 2-Stroke,East Coast North America,,Gulf Fanatir,"29,589","45,920",352002591,9359868,15.00,"9,960"
Ro-Ro/Container,2017,In Service,Atlantic Cont Line,Grimaldi Group,Atlantic Cont Line,Hudong Zhonghua,Malta,Fitted,Diesel 2-Stroke,East Coast North America,United States,Atlantic Sky,"100,430","55,828",215804000,9670602,18.00,"22,000"
Cruise Ship,2004,In Service,Princess Cruises Inc,Carnival Corporation,Princess Cruises Inc,MHI Nagasaki,United Kingdom,Fitted,Diesel Electric,East Asia,Japan,Diamond Princess,"115,906","14,601",235103359,9228198,23.00,"60,700"
Bulk Carrier,2017,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Jinhai Heavy Ind,Liberia,Fitted,Diesel 2-Stroke,Indian Subcontinent,India,William Oldendorff,"94,004","179,120",636092761,9623570,14.50,"15,530"
Bulk Carrier,2012,In Service,Dryships,Dryships,Dryships,Hudong Zhonghua,Malta,Fitted,Diesel 2-Stroke,East Asia,,Raraka,"41,254","76,037",256936000,9584504,13.00,"10,000"
Fully Cellular Container,2013,In Service,Enesel SA,N.S. Lemos,Hapag-Lloyd,Hyundai HI (Ulsan),Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,Norfolk Express,"148,667","152,344",563377000,9665592,23.00,"53,250"
Fully Cellular Container,2020,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,Panama,Fitted,Diesel 2-Stroke,West Coast North America,,Ever Front,"120,000","127,075",373285000,9850549,23.00,"42,800"
Fully Cellular Container,2008,In Service,Irish Continental,Irish Continental,EUCON,Hegemann Rolandwerft,Cyprus,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Ireland,Elbfeeder,"8,550","10,950",212931000,9388522,17.50,"9,000"
Pass./Car Ferry,2003,In Service,Stena Line,Stena AB,Stena Line,Hyundai HI (Ulsan),Sweden,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Denmark,Stena Scandinavica,"57,639","11,078",266343000,9235517,22.50,"22,990"
Fully Cellular Container,2020,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,Panama,Fitted,Diesel 2-Stroke,West Coast North America,,Ever Faith,"117,340","127,075",355623000,9850525,23.00,"42,800"
Tanker,2020,In Service,Ray Car Carriers,Ray Car Carriers,Trafigura Maritime,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,,Sea Lion,"156,237","299,995",538008422,9858058,14.80,"24,510"
Ro-Ro/Container,2015,Idle,Abu Dhabi Ports,Abu Dhabi Ports,,STX SB (Jinhae),Unknown,Fitted,Diesel 2-Stroke,East Coast North America,United States,Al Bateen,"51,055","44,574",,9668984,21.50,"22,890"
Chemical Parcel Tanker,2009,In Service,Nat Chem Carriers,Bahri,Nat Chem Carriers,Hyundai Mipo,Saudi Arabia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,NCC Qamar,"29,644","46,195",403503000,9387671,14.50,"9,468"
Chip Carrier,2013,In Service,Nova Shpg & Log,Royal Golden Eagle,Nova Shpg & Log,Jiangsu New YZJ,Singapore,Fitted,Diesel 2-Stroke,East Asia,,Surabaya Express,"54,686","70,099",563213600,9554731,14.50,"10,470"
Tanker,2011,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Samsung HI,Malta,Fitted,Diesel 2-Stroke,Middle East,United Arab Emirates,Daytona,"61,332","115,708",215497000,9528043,15.00,"14,400"
Fully Cellular Container,2013,In Service,OOCL,China COSCO Shipping,OOCL,Samsung HI,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,,OOCL Berlin,"141,003","143,521",477203100,9622605,23.00,"54,200"
Bulk Carrier,2010,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Tsuneishi Cebu,Isle of Man,Fitted,Diesel 2-Stroke,West Coast Africa,,Berge Nyangani,"92,379","180,630",232018697,9558294,17.10,"17,690"
Fully Cellular Container,2013,In Service,Poseidon Containers,Global Ship Lease,Hapag-Lloyd,Hyundai Samho HI,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,United States,Panama Express,"71,021","80,277",538004913,9641223,23.00,"36,080"
Cruise Ship,2002,Idle,Blue Dream Cruises,Guohang Ocean,Blue Dream Cruises,Aker MTW Werft,Liberia,Fitted,Diesel Electric,East Asia,People's Republic Of China,Blue Dream Melody,"42,289","4,232",636022869,9221554,21.00,"27,400"
Bulk Carrier,2018,Idle,Algoma Central Corp,Algoma Central Corp,Seaway Marine,Jiangsu New YZJ,Canada,Fitted,Diesel 2-Stroke,East Coast North America,Canada,Algoma Sault,"24,640","37,411",316036089,9619282,14.00,"6,926"
Bulk Carrier,2010,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Jinhai Heavy Ind,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Berge Triglav,"91,971","175,885",636019093,9572666,14.20,"16,860"
Chemical Bulk Tanker,2016,In Service,Stena Bulk,Stena AB,Weco Tankers,GSI Liwan,United Kingdom,Fitted,Diesel 2-Stroke,South East Asia,Papua New Guinea,Stena Imagination,"29,680","49,689",235116324,9685463,12.40,"7,211"
Fully Cellular Container,2021,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,Singapore,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ever Frank,"120,000","127,075",563163400,9850587,23.00,"42,800"
Fully Cellular Container,2008,In Service,MSC,MSC,MSC,Hyundai Samho HI,Madeira,Fitted,Diesel 2-Stroke,West Coast South America,Ecuador,MSC Bern V,"40,807","55,345",255806449,9362449,24.00,"36,560"
Ore Carrier,2009,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,Nantong COSCO KHI,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,He Tong,"152,305","297,633",477399200,9375733,14.50,"22,360"
Fully Cellular Container,2020,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,Panama,Fitted,Diesel 2-Stroke,East Coast North America,,Ever Focus,"120,000","127,075",374158000,9850537,23.00,"42,800"
Tanker,2019,In Service,Okeanis Eco Tankers,Kyklades Maritime,Okeanis Eco Tankers,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Nissos Keros,"160,457","318,744",538008311,9856074,14.40,"24,500"
Fully Cellular Container,2022,In Service,CULines,CULines,CULines,Huangpu Wenchong,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,,CUL Laemchabang,"18,498","24,400",477846400,9941817,15.00,"14,940"
Chemical Parcel Tanker,2010,Idle,Westfal-Larsen Mgmt,Westfal-Larsen Mgmt,Westfal-Larsen Mgmt,Hyundai Mipo,Norwegian Int'l,Fitted,Diesel 2-Stroke,East Asia,,Fjellanger,"29,644","46,195",257456000,9387724,14.50,"9,468"
